pwsid,year,county_for_checking,lines_replaced
MI0000040,2021,LENAWEE,57
MI0000040,2022,LENAWEE,124
MI0000040,2023,LENAWEE,58
MI0000040,2024,LENAWEE,88
MI0000100,2023,CALHOUN,4
MI0000100,2024,CALHOUN,3
MI0000110,2022,ST. CLAIR,1
MI0000110,2023,ST. CLAIR,2
MI0000120,2021,ALLEGAN,12
MI0000120,2022,ALLEGAN,17
MI0000120,2023,ALLEGAN,243
MI0000120,2024,ALLEGAN,124
MI0000130,2021,WAYNE,8
MI0000130,2022,WAYNE,55
MI0000130,2023,WAYNE,15
MI0000130,2024,WAYNE,43
MI0000140,2022,GRATIOT,7
MI0000140,2023,GRATIOT,6
MI0000140,2024,GRATIOT,6
MI0000150,2021,LAPEER,7
MI0000150,2022,LAPEER,20
MI0000150,2024,LAPEER,3
MI0000160,2021,ALPENA,25
MI0000160,2022,ALPENA,14
MI0000160,2023,ALPENA,18
MI0000160,2024,ALPENA,51
MI0000180,2022,IRON,4
MI0000220,2021,WASHTENAW,112
MI0000220,2022,WASHTENAW,137
MI0000220,2023,WASHTENAW,103
MI0000220,2024,WASHTENAW,63
MI0000240,2022,MACOMB,4
MI0000245,2021,MONROE,2
MI0000245,2023,MONROE,2
MI0000245,2024,MONROE,1
MI0000260,2021,CALHOUN,1
MI0000260,2022,CALHOUN,5
MI0000260,2023,CALHOUN,13
MI0000260,2024,CALHOUN,10
MI0000320,2021,KALAMAZOO,7
MI0000320,2023,KALAMAZOO,5
MI0000320,2024,KALAMAZOO,10
MI0000350,2023,LAKE,116
MI0000350,2024,LAKE,10
MI0000390,2022,BAY,5
MI0000420,2024,BERRIEN,2
MI0000430,2021,WASHTENAW,2
MI0000430,2022,WASHTENAW,1
MI0000430,2023,WASHTENAW,3
MI0000430,2024,WASHTENAW,1
MI0000450,2021,CALHOUN,227
MI0000450,2022,CALHOUN,194
MI0000450,2023,CALHOUN,330
MI0000450,2024,CALHOUN,254
MI0000470,2021,BAY,278
MI0000470,2022,BAY,523
MI0000470,2023,BAY,475
MI0000470,2024,BAY,628
MI0000485,2022,BAY,4
MI0000485,2023,BAY,4
MI0000510,2022,MANISTEE,1
MI0000510,2024,MANISTEE,2
MI0000560,2021,IONIA,84
MI0000560,2022,IONIA,94
MI0000560,2023,IONIA,91
MI0000560,2024,IONIA,189
MI0000570,2021,ANTRIM,16
MI0000570,2022,ANTRIM,16
MI0000570,2023,ANTRIM,6
MI0000570,2024,ANTRIM,4
MI0000590,2021,EATON,2
MI0000590,2023,EATON,1
MI0000590,2024,EATON,2
MI0000600,2021,BERRIEN,191
MI0000600,2022,BERRIEN,3056
MI0000600,2023,BERRIEN,24
MI0000605,2021,BERRIEN,1
MI0000605,2022,BERRIEN,2
MI0000605,2023,BERRIEN,1
MI0000605,2024,BERRIEN,5
MI0000610,2024,BENZIE,5
MI0000630,2021,OAKLAND,35
MI0000630,2022,OAKLAND,111
MI0000630,2023,OAKLAND,77
MI0000630,2024,OAKLAND,54
MI0000650,2021,BERRIEN,5
MI0000650,2023,BERRIEN,17
MI0000650,2024,BERRIEN,12
MI0000660,2021,GOGEBIC,17
MI0000660,2022,GOGEBIC,25
MI0000660,2023,GOGEBIC,48
MI0000660,2024,GOGEBIC,20
MI0000690,2024,OAKLAND,2
MI0000710,2021,MECOSTA,49
MI0000710,2023,MECOSTA,135
MI0000730,2021,OAKLAND,216
MI0000730,2022,OAKLAND,204
MI0000730,2023,OAKLAND,83
MI0000730,2024,OAKLAND,27
MI0000750,2021,LENAWEE,10
MI0000750,2022,LENAWEE,23
MI0000750,2023,LENAWEE,11
MI0000750,2024,LENAWEE,7
MI0000790,2021,OAKLAND,9
MI0000910,2022,BRANCH,4
MI0000910,2023,BRANCH,4
MI0000910,2024,BRANCH,13
MI0000930,2021,SANILAC,5
MI0000930,2023,SANILAC,1
MI0000940,2021,WAYNE,1
MI0000940,2023,WAYNE,1
MI0000940,2024,WAYNE,8
MI0000960,2022,BERRIEN,1
MI0000960,2023,BERRIEN,2
MI0000960,2024,BERRIEN,10
MI0001130,2022,TUSCOLA,2
MI0001130,2023,TUSCOLA,6
MI0001130,2024,TUSCOLA,7
MI0001170,2024,MONTCALM,1
MI0001210,2021,IRON,1
MI0001220,2021,TUSCOLA,20
MI0001220,2022,TUSCOLA,19
MI0001220,2023,TUSCOLA,6
MI0001220,2024,TUSCOLA,5
MI0001250,2021,CASS,2
MI0001290,2021,MACOMB,2
MI0001290,2022,MACOMB,5
MI0001290,2023,MACOMB,47
MI0001300,2021,ANTRIM,2
MI0001300,2022,ANTRIM,5
MI0001300,2023,ANTRIM,2
MI0001300,2024,ANTRIM,2
MI0001330,2021,CHARLEVOIX,1
MI0001330,2022,CHARLEVOIX,5
MI0001330,2023,CHARLEVOIX,9
MI0001330,2024,CHARLEVOIX,19
MI0001340,2021,EATON,34
MI0001340,2022,EATON,25
MI0001340,2023,EATON,75
MI0001340,2024,EATON,28
MI0001360,2021,CHEBOYGAN,3
MI0001360,2024,CHEBOYGAN,12
MI0001370,2021,WASHTENAW,1
MI0001380,2021,SAGINAW,2
MI0001380,2022,SAGINAW,1
MI0001380,2023,SAGINAW,1
MI0001420,2021,CLARE,60
MI0001420,2023,CLARE,7
MI0001440,2021,OAKLAND,5
MI0001440,2022,OAKLAND,4
MI0001440,2023,OAKLAND,4
MI0001440,2024,OAKLAND,7
MI0001470,2021,LENAWEE,5
MI0001470,2022,LENAWEE,8
MI0001470,2023,LENAWEE,44
MI0001470,2024,LENAWEE,30
MI0001480,2021,MACOMB,1
MI0001480,2023,MACOMB,10
MI0001480,2024,MACOMB,4
MI0001500,2021,BRANCH,23
MI0001500,2022,BRANCH,62
MI0001500,2023,BRANCH,86
MI0001500,2024,BRANCH,170
MI0001520,2024,MIDLAND,4
MI0001530,2021,BERRIEN,6
MI0001530,2022,BERRIEN,3
MI0001530,2023,BERRIEN,3
MI0001610,2021,OTTAWA,5
MI0001610,2022,OTTAWA,14
MI0001610,2023,OTTAWA,33
MI0001610,2024,OTTAWA,18
MI0001640,2021,SHIAWASSEE,2
MI0001650,2022,ST. CLAIR,1
MI0001650,2023,ST. CLAIR,1
MI0001690,2024,SANILAC,9
MI0001730,2021,WAYNE,328
MI0001730,2023,WAYNE,389
MI0001730,2024,WAYNE,358
MI0001740,2022,WAYNE,5
MI0001740,2023,WAYNE,9
MI0001750,2021,VAN BUREN,6
MI0001750,2022,VAN BUREN,5
MI0001750,2023,VAN BUREN,5
MI0001750,2024,VAN BUREN,57
MI0001770,2024,LENAWEE,3
MI0001800,2021,WAYNE,204
MI0001800,2022,WAYNE,2122
MI0001800,2023,WAYNE,2827
MI0001800,2024,WAYNE,7468
MI0001810,2022,WASHTENAW,7
MI0001810,2023,WASHTENAW,2
MI0001810,2024,WASHTENAW,1
MI0001840,2021,HOUGHTON,8
MI0001840,2022,HOUGHTON,3
MI0001840,2023,HOUGHTON,3
MI0001840,2024,HOUGHTON,3
MI0001860,2021,CASS,3
MI0001860,2022,CASS,3
MI0001860,2023,CASS,6
MI0001860,2024,CASS,47
MI0001880,2021,MONROE,1
MI0001880,2022,MONROE,2
MI0001880,2024,MONROE,6
MI0001900,2021,SHIAWASSEE,27
MI0001900,2022,SHIAWASSEE,6
MI0001900,2023,SHIAWASSEE,2
MI0001900,2024,SHIAWASSEE,11
MI0001950,2021,MACOMB,182
MI0001950,2022,MACOMB,50
MI0001950,2023,MACOMB,513
MI0001950,2024,MACOMB,1084
MI0001960,2021,KENT,65
MI0001960,2022,KENT,47
MI0001960,2023,KENT,86
MI0001960,2024,KENT,180
MI0001970,2021,CHARLEVOIX,9
MI0001970,2023,CHARLEVOIX,9
MI0001980,2021,DICKINSON,4
MI0001980,2022,DICKINSON,12
MI0001980,2023,DICKINSON,2
MI0001980,2024,DICKINSON,8
MI0001990,2021,INGHAM,38
MI0001990,2022,INGHAM,35
MI0001990,2023,INGHAM,67
MI0001990,2024,INGHAM,30
MI0002020,2021,EATON,7
MI0002020,2022,EATON,6
MI0002020,2023,EATON,7
MI0002020,2024,EATON,7
MI0002050,2021,WAYNE,54
MI0002050,2022,WAYNE,196
MI0002050,2023,WAYNE,166
MI0002070,2021,MONTCALM,1
MI0002070,2024,MONTCALM,1
MI0002080,2023,BENZIE,36
MI0002080,2024,BENZIE,58
MI0002125,2021,CALHOUN,39
MI0002170,2021,DELTA,87
MI0002170,2022,DELTA,240
MI0002170,2023,DELTA,240
MI0002170,2024,DELTA,655
MI0002180,2021,BAY,103
MI0002180,2022,BAY,65
MI0002180,2023,BAY,74
MI0002190,2021,OSCEOLA,42
MI0002190,2023,OSCEOLA,2
MI0002230,2021,OAKLAND,10
MI0002230,2022,OAKLAND,3
MI0002230,2023,OAKLAND,6
MI0002230,2024,OAKLAND,7
MI0002250,2023,CLARE,3
MI0002250,2024,CLARE,4
MI0002260,2021,ALLEGAN,10
MI0002260,2022,ALLEGAN,11
MI0002260,2023,ALLEGAN,5
MI0002270,2021,GENESEE,90
MI0002270,2022,GENESEE,24
MI0002270,2023,GENESEE,45
MI0002270,2024,GENESEE,18
MI0002280,2021,OAKLAND,555
MI0002280,2022,OAKLAND,611
MI0002280,2023,OAKLAND,501
MI0002280,2024,OAKLAND,516
MI0002300,2023,WAYNE,32
MI0002300,2024,WAYNE,44
MI0002310,2021,GENESEE,214
MI0002310,2022,GENESEE,122
MI0002310,2023,GENESEE,247
MI0002310,2024,GENESEE,62
MI0002340,2024,GENESEE,1
MI0002350,2021,DELTA,1
MI0002350,2022,DELTA,1
MI0002350,2024,DELTA,1
MI0002430,2021,BENZIE,38
MI0002430,2023,BENZIE,9
MI0002430,2024,BENZIE,8
MI0002480,2021,BARRY,1
MI0002480,2022,BARRY,8
MI0002480,2023,BARRY,3
MI0002480,2024,BARRY,2
MI0002490,2021,NEWAYGO,10
MI0002490,2022,NEWAYGO,14
MI0002490,2023,NEWAYGO,16
MI0002490,2024,NEWAYGO,5
MI0002510,2024,IRON,7
MI0002520,2024,TUSCOLA,5
MI0002530,2024,KALAMAZOO,1
MI0002550,2021,WAYNE,7
MI0002550,2022,WAYNE,37
MI0002550,2023,WAYNE,68
MI0002550,2024,WAYNE,29
MI0002600,2021,OTSEGO,5
MI0002600,2023,OTSEGO,4
MI0002630,2021,WAYNE,1
MI0002630,2022,WAYNE,1
MI0002630,2023,WAYNE,1
MI0002630,2024,WAYNE,1
MI0002640,2021,DELTA,11
MI0002640,2022,DELTA,7
MI0002640,2023,DELTA,11
MI0002640,2024,DELTA,20
MI0002680,2021,VAN BUREN,2
MI0002750,2021,OTTAWA,10
MI0002750,2022,OTTAWA,26
MI0002750,2023,OTTAWA,191
MI0002750,2024,OTTAWA,12
MI0002770,2021,EATON,7
MI0002770,2022,EATON,16
MI0002770,2024,EATON,11
MI0002790,2021,KENT,640
MI0002790,2022,KENT,946
MI0002790,2023,KENT,2478
MI0002790,2024,KENT,1419
MI0002820,2023,KENT,29
MI0002820,2024,KENT,44
MI0002830,2024,JACKSON,2
MI0002840,2021,CRAWFORD,1
MI0002840,2024,CRAWFORD,1
MI0002850,2021,MONTCALM,20
MI0002850,2023,MONTCALM,40
MI0002850,2024,MONTCALM,7
MI0002870,2021,WAYNE,3
MI0002870,2022,WAYNE,2
MI0002870,2023,WAYNE,1
MI0002870,2024,WAYNE,2
MI0002880,2021,WAYNE,24
MI0002880,2023,WAYNE,35
MI0002880,2024,WAYNE,26
MI0002890,2021,WAYNE,14
MI0002890,2022,WAYNE,14
MI0002890,2023,WAYNE,14
MI0002890,2024,WAYNE,14
MI0002900,2021,WAYNE,2
MI0002900,2022,WAYNE,6
MI0002900,2023,WAYNE,7
MI0002900,2024,WAYNE,81
MI0002920,2021,WAYNE,3
MI0002920,2022,WAYNE,36
MI0002920,2023,WAYNE,25
MI0002920,2024,WAYNE,4
MI0002960,2021,BAY,6
MI0002960,2023,BAY,7
MI0002970,2021,WAYNE,179
MI0002970,2022,WAYNE,361
MI0002970,2023,WAYNE,429
MI0002970,2024,WAYNE,790
MI0003000,2022,HURON,4
MI0003000,2023,HURON,3
MI0003000,2024,HURON,5
MI0003020,2021,WAYNE,8
MI0003020,2022,WAYNE,10
MI0003020,2023,WAYNE,10
MI0003030,2022,CLARE,2
MI0003030,2023,CLARE,17
MI0003030,2024,CLARE,5
MI0003060,2021,OCEANA,5
MI0003060,2023,OCEANA,7
MI0003060,2024,OCEANA,53
MI0003070,2023,VAN BUREN,25
MI0003090,2021,BARRY,9
MI0003090,2022,BARRY,7
MI0003090,2023,BARRY,34
MI0003090,2024,BARRY,62
MI0003100,2021,OAKLAND,32
MI0003100,2022,OAKLAND,29
MI0003100,2023,OAKLAND,31
MI0003100,2024,OAKLAND,80
MI0003130,2021,NEWAYGO,3
MI0003130,2023,NEWAYGO,7
MI0003140,2021,WAYNE,59
MI0003140,2022,WAYNE,365
MI0003140,2023,WAYNE,12
MI0003140,2024,WAYNE,12
MI0003170,2021,HILLSDALE,49
MI0003170,2022,HILLSDALE,21
MI0003170,2023,HILLSDALE,127
MI0003170,2024,HILLSDALE,88
MI0003190,2021,OTTAWA,71
MI0003190,2022,OTTAWA,113
MI0003190,2023,OTTAWA,118
MI0003190,2024,OTTAWA,86
MI0003195,2022,OTTAWA,2
MI0003250,2021,LIVINGSTON,23
MI0003250,2022,LIVINGSTON,6
MI0003250,2024,LIVINGSTON,4
MI0003270,2024,HOUGHTON,1
MI0003280,2022,LENAWEE,1
MI0003280,2023,LENAWEE,3
MI0003280,2024,LENAWEE,1
MI0003310,2021,OAKLAND,27
MI0003310,2022,OAKLAND,4
MI0003340,2021,LAPEER,3
MI0003360,2021,WAYNE,67
MI0003360,2022,WAYNE,77
MI0003360,2023,WAYNE,114
MI0003360,2024,WAYNE,88
MI0003370,2024,IONIA,16
MI0003390,2021,ST. CLAIR,6
MI0003390,2022,ST. CLAIR,4
MI0003390,2024,ST. CLAIR,1
MI0003400,2021,DICKINSON,53
MI0003400,2022,DICKINSON,10
MI0003400,2023,DICKINSON,17
MI0003400,2024,DICKINSON,46
MI0003410,2021,IRON,11
MI0003410,2022,IRON,1
MI0003410,2023,IRON,7
MI0003410,2024,IRON,3
MI0003420,2021,GOGEBIC,79
MI0003420,2022,GOGEBIC,43
MI0003420,2023,GOGEBIC,91
MI0003420,2024,GOGEBIC,164
MI0003430,2021,GOGEBIC,1
MI0003430,2022,GOGEBIC,1
MI0003430,2023,GOGEBIC,1
MI0003430,2024,GOGEBIC,1
MI0003440,2024,MARQUETTE,1
MI0003460,2022,GRATIOT,8
MI0003460,2023,GRATIOT,41
MI0003460,2024,GRATIOT,11
MI0003470,2021,JACKSON,338
MI0003470,2022,JACKSON,103
MI0003470,2023,JACKSON,186
MI0003470,2024,JACKSON,368
MI0003490,2021,HILLSDALE,2
MI0003490,2022,HILLSDALE,1
MI0003490,2023,HILLSDALE,27
MI0003490,2024,HILLSDALE,23
MI0003520,2021,KALAMAZOO,940
MI0003520,2022,KALAMAZOO,829
MI0003520,2023,KALAMAZOO,363
MI0003520,2024,KALAMAZOO,810
MI0003525,2022,ALLEGAN,13
MI0003525,2023,ALLEGAN,18
MI0003525,2024,ALLEGAN,3
MI0003550,2022,MANISTEE,21
MI0003550,2023,MANISTEE,24
MI0003550,2024,MANISTEE,7
MI0003640,2021,DICKINSON,10
MI0003640,2022,DICKINSON,26
MI0003640,2023,DICKINSON,6
MI0003640,2024,DICKINSON,281
MI0003650,2021,GRAND TRAVERSE,2
MI0003650,2023,GRAND TRAVERSE,214
MI0003650,2024,GRAND TRAVERSE,38
MI0003660,2024,TUSCOLA,4
MI0003670,2021,BARAGA,18
MI0003670,2022,BARAGA,18
MI0003700,2021,MISSAUKEE,20
MI0003700,2022,MISSAUKEE,9
MI0003700,2023,MISSAUKEE,8
MI0003700,2024,MISSAUKEE,5
MI0003740,2021,OAKLAND,25
MI0003740,2024,OAKLAND,2
MI0003750,2021,MONTCALM,8
MI0003750,2022,MONTCALM,3
MI0003750,2023,MONTCALM,1
MI0003750,2024,MONTCALM,4
MI0003780,2021,LAPEER,1
MI0003780,2022,LAPEER,1
