base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0005005,MI0005005,"OMER, CITY OF","OMER, CITY OF",ARENAC,2023-12-31,2023,9.0,False,,2025.0,,,,,
MI0005005,MI0005005,"OMER, CITY OF","OMER, CITY OF",ARENAC,2023-12-31,2023,9.0,False,,2025.0,,,,,
MI0005037,MI0005037,OSBORN LAKE ESTATES,OSBORN LAKE ESTATES,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0005037,MI0005037,OSBORN LAKE ESTATES,OSBORN LAKE ESTATES,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0005039,MI0005039,ORCHARD PLACE MANOR APARTMENTS,ORCHARD PLACE MANOR APARTMENTS,SHIAWASSEE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005039,MI0005039,ORCHARD PLACE MANOR APARTMENTS,ORCHARD PLACE MANOR APARTMENTS,SHIAWASSEE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005060,MI0005060,OTSEGO,OTSEGO,ALLEGAN,2024-06-30,2024,0.0,False,36.0,2025.0,,,,,
MI0005060,MI0005060,OTSEGO,OTSEGO,ALLEGAN,2024-06-30,2024,0.0,False,36.0,2025.0,,,,,
MI0005130,MI0005130,"OXFORD, VILLAGE OF","OXFORD, VILLAGE OF",OAKLAND,2023-12-31,2023,0.0,False,50.0,2025.0,,,,,
MI0005130,MI0005130,"OXFORD, VILLAGE OF","OXFORD, VILLAGE OF",OAKLAND,2023-12-31,2023,0.0,False,50.0,2025.0,,,,,
MI0005138,MI0005138,OXFORD TOWNSHIP,OXFORD TOWNSHIP,OAKLAND,2024-12-31,2024,2.0,False,,2025.0,,,,,
MI0005138,MI0005138,OXFORD TOWNSHIP,OXFORD TOWNSHIP,OAKLAND,2024-12-31,2024,2.0,False,,2025.0,,,,,
MI0005210,MI0005210,PAW PAW,PAW PAW,VAN BUREN,2022-12-31,2022,2.0,False,432.0,2025.0,,,,,
MI0005210,MI0005210,PAW PAW,PAW PAW,VAN BUREN,2022-12-31,2022,2.0,False,432.0,2025.0,,,,,
MI0005229,MI0005229,THE PENINSULA DEVELOPMENT LLC,THE PENINSULA DEVELOPMENT LLC,LIVINGSTON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0005229,MI0005229,THE PENINSULA DEVELOPMENT LLC,THE PENINSULA DEVELOPMENT LLC,LIVINGSTON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0005322,MI0005322,"PINCKNEY, VILLAGE OF","PINCKNEY, VILLAGE OF",LIVINGSTON,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005322,MI0005322,"PINCKNEY, VILLAGE OF","PINCKNEY, VILLAGE OF",LIVINGSTON,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005370,MI0005370,PLAINFIELD TOWNSHIP,PLAINFIELD TOWNSHIP,KENT,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0005370,MI0005370,PLAINFIELD TOWNSHIP,PLAINFIELD TOWNSHIP,KENT,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0005425,MI0005425,POINT NIPIGON RESORT,POINT NIPIGON RESORT,CHEBOYGAN,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0005425,MI0005425,POINT NIPIGON RESORT,POINT NIPIGON RESORT,CHEBOYGAN,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0005500,MI0005500,"PORT SANILAC, VILLAGE OF","PORT SANILAC, VILLAGE OF",SANILAC,2024-12-31,2024,8.0,False,,2025.0,,,,,
MI0005500,MI0005500,"PORT SANILAC, VILLAGE OF","PORT SANILAC, VILLAGE OF",SANILAC,2024-12-31,2024,8.0,False,,2025.0,,,,,
MI0005573,MI0005573,OAKLAND HUNT SUBDIVISION,OAKLAND HUNT SUBDIVISION,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0005573,MI0005573,OAKLAND HUNT SUBDIVISION,OAKLAND HUNT SUBDIVISION,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0005577,MI0005577,LAKESHORE VILLAGE SUBDIVISION,LAKESHORE VILLAGE SUBDIVISION,LIVINGSTON,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0005577,MI0005577,LAKESHORE VILLAGE SUBDIVISION,LAKESHORE VILLAGE SUBDIVISION,LIVINGSTON,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0005610,MI0005610,RAVENNA,RAVENNA,MUSKEGON,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005610,MI0005610,RAVENNA,RAVENNA,MUSKEGON,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005650,MI0005650,"REED CITY, CITY OF","REED CITY, CITY OF",OSCEOLA,2024-12-31,2024,4.0,False,100.0,2025.0,,,,,
MI0005650,MI0005650,"REED CITY, CITY OF","REED CITY, CITY OF",OSCEOLA,2024-12-31,2024,4.0,False,100.0,2025.0,,,,,
MI0005670,MI0005670,"RICHMOND, CITY OF","RICHMOND, CITY OF",MACOMB,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005670,MI0005670,"RICHMOND, CITY OF","RICHMOND, CITY OF",MACOMB,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005673,MI0005673,RIDGEWAY,RIDGEWAY,MACOMB,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005673,MI0005673,RIDGEWAY,RIDGEWAY,MACOMB,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005800,MI0005800,ROOSEVELT PARK,ROOSEVELT PARK,MUSKEGON,2024-12-31,2024,2.0,False,23.0,2025.0,,,,,
MI0005800,MI0005800,ROOSEVELT PARK,ROOSEVELT PARK,MUSKEGON,2024-12-31,2024,2.0,False,23.0,2025.0,,,,,
MI0005901,MI0005901,SALINE VALLEY FARMS,SALINE VALLEY FARMS,WASHTENAW,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0005901,MI0005901,SALINE VALLEY FARMS,SALINE VALLEY FARMS,WASHTENAW,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0005911,MI0005911,SANDY PINES,SANDY PINES,ALLEGAN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005911,MI0005911,SANDY PINES,SANDY PINES,ALLEGAN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005970,MI0005970,SCHOOLCRAFT,SCHOOLCRAFT,KALAMAZOO,2024-12-31,2024,0.0,False,21.0,2025.0,,,,,
MI0005970,MI0005970,SCHOOLCRAFT,SCHOOLCRAFT,KALAMAZOO,2024-12-31,2024,0.0,False,21.0,2025.0,,,,,
MI0005980,MI0005980,"SCOTTVILLE, CITY OF","SCOTTVILLE, CITY OF",MASON,2023-12-31,2023,0.0,False,10.0,2025.0,,,,,
MI0005980,MI0005980,"SCOTTVILLE, CITY OF","SCOTTVILLE, CITY OF",MASON,2023-12-31,2023,0.0,False,10.0,2025.0,,,,,
MI0006000,MI0006000,SHELBY,SHELBY,OCEANA,2023-12-31,2023,2.0,False,235.0,2025.0,,,,,
MI0006000,MI0006000,SHELBY,SHELBY,OCEANA,2023-12-31,2023,2.0,False,235.0,2025.0,,,,,
MI0006025,MI0006025,SHELDON DUNES,SHELDON DUNES,OTTAWA,2024-12-31,2024,3.0,False,,2025.0,,,,,
MI0006025,MI0006025,SHELDON DUNES,SHELDON DUNES,OTTAWA,2024-12-31,2024,3.0,False,,2025.0,,,,,
MI0006042,MI0006042,SHERWOOD SHORES CONDOMINIUMS,SHERWOOD SHORES CONDOMINIUMS,BERRIEN,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0006042,MI0006042,SHERWOOD SHORES CONDOMINIUMS,SHERWOOD SHORES CONDOMINIUMS,BERRIEN,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0006073,MI0006073,SIMS-WHITNEY UTILITIES AUTH.,SIMS-WHITNEY UTILITIES AUTH.,ARENAC,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0006073,MI0006073,SIMS-WHITNEY UTILITIES AUTH.,SIMS-WHITNEY UTILITIES AUTH.,ARENAC,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0006227,MI0006227,SPRING ARBOR TOWNSHIP,SPRING ARBOR TOWNSHIP,JACKSON,2023-12-31,2023,0.0,False,,,,,,,
MI0006227,MI0006227,SPRING ARBOR TOWNSHIP,SPRING ARBOR TOWNSHIP,JACKSON,2023-12-31,2023,0.0,False,,,,,,,
MI0006450,MI0006450,SUMMIT TOWNSHIP,SUMMIT TOWNSHIP,JACKSON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0006450,MI0006450,SUMMIT TOWNSHIP,SUMMIT TOWNSHIP,JACKSON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0006590,MI0006590,"THOMPSONVILLE, VILLAGE OF","THOMPSONVILLE, VILLAGE OF",BENZIE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0006590,MI0006590,"THOMPSONVILLE, VILLAGE OF","THOMPSONVILLE, VILLAGE OF",BENZIE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0006590,MI0006590,"THOMPSONVILLE, VILLAGE OF","THOMPSONVILLE, VILLAGE OF",BENZIE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0006820,MI0006820,WOODLAND CENTER CORRECTIONAL FACILITY,WOODLAND CENTER CORRECTIONAL FACILITY,LIVINGSTON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0006820,MI0006820,WOODLAND CENTER CORRECTIONAL FACILITY,WOODLAND CENTER CORRECTIONAL FACILITY,LIVINGSTON,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0007105,MI0007105,WILDWOOD ON WALLOON ASSOCIATION,WILDWOOD ON WALLOON ASSOCIATION,CHARLEVOIX,2024-12-31,2024,10.0,False,,2025.0,,,,,
MI0007105,MI0007105,WILDWOOD ON WALLOON ASSOCIATION,WILDWOOD ON WALLOON ASSOCIATION,CHARLEVOIX,2024-12-31,2024,10.0,False,,2025.0,,,,,
MI0007217,MI0007217,WYNSTONE SUBDIVISION,WYNSTONE SUBDIVISION,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0007217,MI0007217,WYNSTONE SUBDIVISION,WYNSTONE SUBDIVISION,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0040046,MI0040046,GUERNSEY LAKE MOBILE HOME COMMUNITY,GUERNSEY LAKE MOBILE HOME COMMUNITY,BARRY,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0040046,MI0040046,GUERNSEY LAKE MOBILE HOME COMMUNITY,GUERNSEY LAKE MOBILE HOME COMMUNITY,BARRY,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0040076,MI0040076,SOMERSET MOBILE HOME PARK,SOMERSET MOBILE HOME PARK,BRANCH,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040076,MI0040076,SOMERSET MOBILE HOME PARK,SOMERSET MOBILE HOME PARK,BRANCH,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040081,MI0040081,BELLEVUE MOBILE HOME PARK,BELLEVUE MOBILE HOME PARK,CALHOUN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040081,MI0040081,BELLEVUE MOBILE HOME PARK,BELLEVUE MOBILE HOME PARK,CALHOUN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040110,MI0040110,TOWN AND COUNTRY MHP,TOWN AND COUNTRY MHP,CHEBOYGAN,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0040110,MI0040110,TOWN AND COUNTRY MHP,TOWN AND COUNTRY MHP,CHEBOYGAN,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0040197,MI0040197,MASON MANOR,MASON MANOR,INGHAM,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0040197,MI0040197,MASON MANOR,MASON MANOR,INGHAM,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0040202,MI0040202,WILLOW VILLAGE,WILLOW VILLAGE,INGHAM,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040202,MI0040202,WILLOW VILLAGE,WILLOW VILLAGE,INGHAM,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040223,MI0040223,ARBOR VILLAGE,ARBOR VILLAGE,JACKSON,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0040223,MI0040223,ARBOR VILLAGE,ARBOR VILLAGE,JACKSON,2022-12-31,2022,3.0,False,,2025.0,,,,,
MI0040273,MI0040273,GREEN ACRES MOBILE HOME PARK,GREEN ACRES MOBILE HOME PARK,KENT,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0040273,MI0040273,GREEN ACRES MOBILE HOME PARK,GREEN ACRES MOBILE HOME PARK,KENT,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0040294,MI0040294,WHITE CREEK COUNTRY ESTATES,WHITE CREEK COUNTRY ESTATES,KENT,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040294,MI0040294,WHITE CREEK COUNTRY ESTATES,WHITE CREEK COUNTRY ESTATES,KENT,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040319,MI0040319,ALAN'S PARK - FOWLERVILLE,ALAN'S PARK - FOWLERVILLE,LIVINGSTON,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0040319,MI0040319,ALAN'S PARK - FOWLERVILLE,ALAN'S PARK - FOWLERVILLE,LIVINGSTON,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0040343,MI0040343,HAVEN VIEW MOBILE COURT,HAVEN VIEW MOBILE COURT,MECOSTA,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0040343,MI0040343,HAVEN VIEW MOBILE COURT,HAVEN VIEW MOBILE COURT,MECOSTA,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0040406,MI0040406,HYLANDER VALLEY,HYLANDER VALLEY,OCEANA,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0040406,MI0040406,HYLANDER VALLEY,HYLANDER VALLEY,OCEANA,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0040494,MI0040494,PHELPS MOBILE HOME VILLA,PHELPS MOBILE HOME VILLA,VAN BUREN,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0040494,MI0040494,PHELPS MOBILE HOME VILLA,PHELPS MOBILE HOME VILLA,VAN BUREN,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0040495,MI0040495,RUSH LAKE MHP/CAMPGROUND,RUSH LAKE MHP/CAMPGROUND,VAN BUREN,2023-12-31,2023,8.0,False,,2025.0,,,,,
MI0040495,MI0040495,RUSH LAKE MHP/CAMPGROUND,RUSH LAKE MHP/CAMPGROUND,VAN BUREN,2023-12-31,2023,8.0,False,,2025.0,,,,,
MI0040606,MI0040606,MITCHELL BROTHERS MOBILE HOME PARK,MITCHELL BROTHERS MOBILE HOME PARK,VAN BUREN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040606,MI0040606,MITCHELL BROTHERS MOBILE HOME PARK,MITCHELL BROTHERS MOBILE HOME PARK,VAN BUREN,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040649,MI0040649,COVENTRY WOODS MHC,COVENTRY WOODS MHC,LIVINGSTON,2023-12-31,2023,3.0,False,,2025.0,,,,,
MI0040649,MI0040649,COVENTRY WOODS MHC,COVENTRY WOODS MHC,LIVINGSTON,2023-12-31,2023,3.0,False,,2025.0,,,,,
MI0040654,MI0040654,HARTLAND MEADOWS,HARTLAND MEADOWS,LIVINGSTON,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0040654,MI0040654,HARTLAND MEADOWS,HARTLAND MEADOWS,LIVINGSTON,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0040658,MI0040658,TYRONE WOODS,TYRONE WOODS,LIVINGSTON,2023-12-31,2023,5.0,False,,2025.0,,,,,
MI0040658,MI0040658,TYRONE WOODS,TYRONE WOODS,LIVINGSTON,2023-12-31,2023,5.0,False,,2025.0,,,,,
MI0040669,MI0040669,WOODLAND RIDGE,WOODLAND RIDGE,LIVINGSTON,2024-12-31,2024,3.0,False,,2025.0,,,,,
MI0040669,MI0040669,WOODLAND RIDGE,WOODLAND RIDGE,LIVINGSTON,2024-12-31,2024,3.0,False,,2025.0,,,,,
MI0040678,MI0040678,OAKS OF ROCKFORD,OAKS OF ROCKFORD,KENT,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0040678,MI0040678,OAKS OF ROCKFORD,OAKS OF ROCKFORD,KENT,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0066355,MI0066355,ARGENTINE CARE CENTER,ARGENTINE CARE CENTER,GENESEE,2023-12-31,2023,3.0,False,,2025.0,,,,,
MI0066355,MI0066355,ARGENTINE CARE CENTER,ARGENTINE CARE CENTER,GENESEE,2023-12-31,2023,3.0,False,,2025.0,,,,,
MI0066700,MI0066700,THE PORCHES,THE PORCHES,OTSEGO,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0066700,MI0066700,THE PORCHES,THE PORCHES,OTSEGO,2023-12-31,2023,0.0,False,,2025.0,,,,,
